Country,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Indicator Name
Australia,EG.CFT.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,Access to clean fuels and technologies for cooking (% of population)
Australia,EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Access to electricity (% of population)
Australia,NY.ADJ.DRES.GN.ZS,2.72458114562199,3.02699995110735,2.14051109154049,1.83778068435368,1.86388256141888,1.31430627027118,1.70315089376007,1.77262211079623,2.57001433806914,2.58265444685263,Adjusted savings: natural resources depletion (% of GNI)
Australia,NY.ADJ.DFOR.GN.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adjusted savings: net forest depletion (% of GNI)
Australia,AG.LND.AGRI.ZS,48.9920987204353,51.5628132199992,50.3854314463116,48.3937102169923,48.7383986566523,45.3144240657095,44.5399257932247,48.3406179391109,46.6580950127535,,Agricultural land (% of land area)
Australia,NV.AGR.TOTL.ZS,2.19756826525444,2.27654236627696,2.25474804896169,2.27890649460036,2.21622365548348,2.37264411384703,2.40312299408568,2.70442489124027,2.45834595577098,2.12159698465698,"Agriculture, forestry, and fishing, value added (% of GDP)"
Australia,ER.H2O.FWTL.ZS,,,3.13387533876016,,,,,3.24085365853659,,,"Annual freshwater withdrawals, total (% of internal resources)"
Australia,SI.SPR.PCAP.ZG,,,,,,,,,,,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)"
Australia,SH.DTH.COMM.ZS,3.95449604319344,,,,,4.56955742794355,,,,4.94105432186094,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)"
Australia,SL.TLF.0714.ZS,,,,,,,,,,,"Children in employment, total (% of children ages 7-14)"
Australia,EN.ATM.CO2E.PC,17.5814449601144,17.2681103655036,16.9692565563587,16.3986459950997,15.7558761009156,15.7864494009173,15.8720795379851,15.7386474030825,15.475516485656,,CO2 emissions (metric tons per capita)
Australia,CC.EST,2.031455,2.044637,1.985774,1.785322,1.853449,1.882113,1.816115,1.79507,1.80646,1.811107,Control of Corruption: Estimate
Australia,EN.CLC.CDDY.XD,,,,,,,,,,,Cooling Degree Days (projected change in number of degree Celsius)
Australia,EN.CLC.MDAT.ZS,,,,,,,,,,,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)"
Australia,IC.BUS.EASE.XQ,,,,,,,,,,14.0,Ease of doing business index (1=most business-friendly regulations)
Australia,EG.ELC.COAL.ZS,71.3276416875453,67.9882791730831,68.554964397789,63.7153925350832,61.1643250733091,62.8716168006469,,,,,Electricity production from coal sources (% of total)
Australia,EG.IMP.CONS.ZS,-153.605591504432,-143.738620495545,-153.237178406375,-172.438340343449,-192.015924390399,-190.190947582154,,,,,"Energy imports, net (% of energy use)"
Australia,EG.EGY.PRIM.PP.KD,5.86381345357689,5.75966043446639,5.48834789173743,5.34612456482868,5.15097928338264,5.03115546358054,,,,,Energy intensity level of primary energy (MJ/$2011 PPP GDP)
